item_key,unit,category,item,co2,source,match_key,match_tokens
burrito with chicken and sour cream,kg,food,Burrito with chicken and sour cream,9.87,combined_food_emissions,burrito with chicken and sour cream,"('burrito', 'with', 'chicken', 'and', 'sour', 'cream')"
burrito with chicken beans and rice,0.083,food,"burrito with chicken, beans, and rice",9.87,Existing Dataset,burrito with chicken bean and rice,"('burrito', 'with', 'chicken', 'bean', 'and', 'rice')"
burrito with chicken beans and rice,kg,food,"Burrito with chicken, beans, and rice",9.87,combined_food_emissions,burrito with chicken bean and rice,"('burrito', 'with', 'chicken', 'bean', 'and', 'rice')"
burrito with chicken beans and sour cream,0.075,food,"burrito with chicken, beans, and sour cream",9.87,Existing Dataset,burrito with chicken bean and sour cream,"('burrito', 'with', 'chicken', 'bean', 'and', 'sour', 'cream')"
burrito with chicken beans and sour cream,kg,food,"Burrito with chicken, beans, and sour cream",9.87,combined_food_emissions,burrito with chicken bean and sour cream,"('burrito', 'with', 'chicken', 'bean', 'and', 'sour', 'cream')"
burrito with chicken beans rice and sour cream,0.074,food,"burrito with chicken, beans, rice, and sour cream",9.87,Existing Dataset,burrito with chicken bean rice and sour cream,"('burrito', 'with', 'chicken', 'bean', 'rice', 'and', 'sour', 'cream')"
burrito with chicken beans rice and sour cream,kg,food,"Burrito with chicken, beans, rice, and sour cream",9.87,combined_food_emissions,burrito with chicken bean rice and sour cream,"('burrito', 'with', 'chicken', 'bean', 'rice', 'and', 'sour', 'cream')"
butter,kg,food,butter,10.6,Poore & Nemecek; footprint,butter,"('butter',)"
butter light,0.0,food,"butter, light",12.0,Existing Dataset,butter light,"('butter', 'light')"
butter light,kg,food,"Butter, light",12.0,combined_food_emissions,butter light,"('butter', 'light')"
butter nfs,0.0,food,"butter, nfs",12.0,Existing Dataset,butter nfs,"('butter', 'nfs')"
butter nfs,kg,food,"Butter, NFS",12.0,combined_food_emissions,butter nfs,"('butter', 'nfs')"
butter oil blend light,0.0,food,"butter-oil blend, light",3.15,Existing Dataset,butter oil blend light,"('butter', 'oil', 'blend', 'light')"
butter oil blend light,kg,food,"Butter-oil blend, light",3.15,combined_food_emissions,butter oil blend light,"('butter', 'oil', 'blend', 'light')"
butter oil blend nfs,0.01,food,"butter-oil blend, nfs",3.15,Existing Dataset,butter oil blend nfs,"('butter', 'oil', 'blend', 'nfs')"
butter oil blend nfs,kg,food,"Butter-oil blend, NFS",3.15,combined_food_emissions,butter oil blend nfs,"('butter', 'oil', 'blend', 'nfs')"
butter oil blend stick,0.0,food,"butter-oil blend, stick",3.15,Existing Dataset,butter oil blend stick,"('butter', 'oil', 'blend', 'stick')"
butter oil blend stick,kg,food,"Butter-oil blend, stick",3.15,combined_food_emissions,butter oil blend stick,"('butter', 'oil', 'blend', 'stick')"
butter oil blend tub,0.01,food,"butter-oil blend, tub",3.15,Existing Dataset,butter oil blend tub,"('butter', 'oil', 'blend', 'tub')"
butter oil blend tub,kg,food,"Butter-oil blend, tub",3.15,combined_food_emissions,butter oil blend tub,"('butter', 'oil', 'blend', 'tub')"
butter replacement liquid,0.0,food,"butter replacement, liquid",3.15,Existing Dataset,butter replacement liquid,"('butter', 'replacement', 'liquid')"
butter replacement liquid,kg,food,"Butter replacement, liquid",3.15,combined_food_emissions,butter replacement liquid,"('butter', 'replacement', 'liquid')"
butter replacement powder,0.0,food,"butter replacement, powder",3.15,Existing Dataset,butter replacement powder,"('butter', 'replacement', 'powder')"
butter replacement powder,kg,food,"Butter replacement, powder",3.15,combined_food_emissions,butter replacement powder,"('butter', 'replacement', 'powder')"
butter stick,0.0,food,"butter, stick",12.0,Existing Dataset,butter stick,"('butter', 'stick')"
butter stick,kg,food,"Butter, stick",12.0,combined_food_emissions,butter stick,"('butter', 'stick')"
butter tub,0.01,food,"butter, tub",12.0,Existing Dataset,butter tub,"('butter', 'tub')"
butter tub,kg,food,"Butter, tub",12.0,combined_food_emissions,butter tub,"('butter', 'tub')"
butterfinger,0.193,food,butterfinger,3.15,Existing Dataset,butterfinger,"('butterfinger',)"
butterfinger,kg,food,Butterfinger,3.15,combined_food_emissions,butterfinger,"('butterfinger',)"
butterfinger crisp,0.421,food,butterfinger crisp,3.15,Existing Dataset,butterfinger crisp,"('butterfinger', 'crisp')"
butterfinger crisp,kg,food,Butterfinger Crisp,3.15,combined_food_emissions,butterfinger crisp,"('butterfinger', 'crisp')"
buttermilk fat free skim,0.011,food,"buttermilk, fat free (skim)",3.15,Existing Dataset,buttermilk fat free skim,"('buttermilk', 'fat', 'free', 'skim')"
buttermilk fat free skim,kg,food,"Buttermilk, fat free (skim)",3.15,combined_food_emissions,buttermilk fat free skim,"('buttermilk', 'fat', 'free', 'skim')"
buttermilk low fat 1,0.011,food,"buttermilk, low fat (1%)",3.15,Existing Dataset,buttermilk low fat,"('buttermilk', 'low', 'fat')"
buttermilk low fat 1,kg,food,"Buttermilk, low fat (1%)",3.15,combined_food_emissions,buttermilk low fat,"('buttermilk', 'low', 'fat')"
buttermilk reduced fat 2,0.008,food,"buttermilk, reduced fat (2%)",3.15,Existing Dataset,buttermilk reduced fat,"('buttermilk', 'reduced', 'fat')"
buttermilk reduced fat 2,kg,food,"Buttermilk, reduced fat (2%)",3.15,combined_food_emissions,buttermilk reduced fat,"('buttermilk', 'reduced', 'fat')"
buttermilk whole,0.025,food,"buttermilk, whole",3.15,Existing Dataset,buttermilk whole,"('buttermilk', 'whole')"
buttermilk whole,kg,food,"Buttermilk, whole",3.15,combined_food_emissions,buttermilk whole,"('buttermilk', 'whole')"
butterscotch hard candy,0.001,food,butterscotch hard candy,3.15,Existing Dataset,butterscotch hard candy,"('butterscotch', 'hard', 'candy')"
butterscotch hard candy,kg,food,Butterscotch hard candy,3.15,combined_food_emissions,butterscotch hard candy,"('butterscotch', 'hard', 'candy')"
butterscotch morsels,0.003,food,butterscotch morsels,3.15,Existing Dataset,butterscotch morsel,"('butterscotch', 'morsel')"
butterscotch morsels,kg,food,Butterscotch morsels,3.15,combined_food_emissions,butterscotch morsel,"('butterscotch', 'morsel')"
cabbage salad or coleslaw with apples and or raisins with dressing,0.032,food,"cabbage salad or coleslaw with apples and/or raisins, with dressing",0.43,Existing Dataset,cabbage salad or coleslaw with apple and or raisin with dressing,"('cabbage', 'salad', 'or', 'coleslaw', 'with', 'apple', 'and', 'or', 'raisin', 'with', 'dressing')"
cabbage salad or coleslaw with apples and or raisins with dressing,kg,food,"Cabbage salad or coleslaw with apples and/or raisins, with dressing",0.43,combined_food_emissions,cabbage salad or coleslaw with apple and or raisin with dressing,"('cabbage', 'salad', 'or', 'coleslaw', 'with', 'apple', 'and', 'or', 'raisin', 'with', 'dressing')"
cake,kg,food,cake,2.8,Poore & Nemecek,cake,"('cake',)"
cake made with glutinous rice,0.105,food,cake made with glutinous rice,4.45,Existing Dataset,cake made with glutinous rice,"('cake', 'made', 'with', 'glutinous', 'rice')"
cake made with glutinous rice,kg,food,Cake made with glutinous rice,4.45,combined_food_emissions,cake made with glutinous rice,"('cake', 'made', 'with', 'glutinous', 'rice')"
cake made with glutinous rice and dried beans,0.433,food,cake made with glutinous rice and dried beans,4.45,Existing Dataset,cake made with glutinous rice and dried bean,"('cake', 'made', 'with', 'glutinous', 'rice', 'and', 'dried', 'bean')"
cake made with glutinous rice and dried beans,kg,food,Cake made with glutinous rice and dried beans,4.45,combined_food_emissions,cake made with glutinous rice and dried bean,"('cake', 'made', 'with', 'glutinous', 'rice', 'and', 'dried', 'bean')"
cake or pancake made with rice flour and or dried beans,0.141,food,cake or pancake made with rice flour and/or dried beans,4.45,Existing Dataset,cake or pancake made with rice flour and or dried bean,"('cake', 'or', 'pancake', 'made', 'with', 'rice', 'flour', 'and', 'or', 'dried', 'bean')"
cake or pancake made with rice flour and or dried beans,kg,food,Cake or pancake made with rice flour and/or dried beans,4.45,combined_food_emissions,cake or pancake made with rice flour and or dried bean,"('cake', 'or', 'pancake', 'made', 'with', 'rice', 'flour', 'and', 'or', 'dried', 'bean')"
caramel with nuts and cereal chocolate covered,0.231,food,"caramel with nuts and cereal, chocolate covered",0.43,Existing Dataset,caramel with nut and cereal chocolate covered,"('caramel', 'with', 'nut', 'and', 'cereal', 'chocolate', 'covered')"
caramel with nuts and cereal chocolate covered,kg,food,"Caramel with nuts and cereal, chocolate covered",0.43,combined_food_emissions,caramel with nut and cereal chocolate covered,"('caramel', 'with', 'nut', 'and', 'cereal', 'chocolate', 'covered')"
caramel with nuts chocolate covered,0.58,food,"caramel with nuts, chocolate covered",0.43,Existing Dataset,caramel with nut chocolate covered,"('caramel', 'with', 'nut', 'chocolate', 'covered')"
caramel with nuts chocolate covered,kg,food,"Caramel with nuts, chocolate covered",0.43,combined_food_emissions,caramel with nut chocolate covered,"('caramel', 'with', 'nut', 'chocolate', 'covered')"
carrot with rice soup cream of prepared with milk home recipe canned or ready to serve,0.037,food,"carrot with rice soup, cream of, prepared with milk, home recipe, canned or ready-to-serve",4.45,Existing Dataset,carrot with rice soup cream of prepared with milk home recipe canned or ready to serve,"('carrot', 'with', 'rice', 'soup', 'cream', 'of', 'prepared', 'with', 'milk', 'home', 'recipe', 'canned', 'or', 'ready', 'to', 'serve')"
carrot with rice soup cream of prepared with milk home recipe canned or ready to serve,kg,food,"Carrot with rice soup, cream of, prepared with milk, home recipe, canned or ready-to-serve",4.45,combined_food_emissions,carrot with rice soup cream of prepared with milk home recipe canned or ready to serve,"('carrot', 'with', 'rice', 'soup', 'cream', 'of', 'prepared', 'with', 'milk', 'home', 'recipe', 'canned', 'or', 'ready', 'to', 'serve')"
carrots and beef baby food strained,0.054,food,"carrots and beef, baby food, strained",99.48,Existing Dataset,carrot and beef baby food strained,"('carrot', 'and', 'beef', 'baby', 'food', 'strained')"
carrots and beef baby food strained,kg,food,"Carrots and beef, baby food, strained",99.48,combined_food_emissions,carrot and beef baby food strained,"('carrot', 'and', 'beef', 'baby', 'food', 'strained')"
carrots and peas baby food strained,0.051,food,"carrots and peas, baby food, strained",0.98,Existing Dataset,carrot and pea baby food strained,"('carrot', 'and', 'pea', 'baby', 'food', 'strained')"
carrots and peas baby food strained,kg,food,"Carrots and peas, baby food, strained",0.98,combined_food_emissions,carrot and pea baby food strained,"('carrot', 'and', 'pea', 'baby', 'food', 'strained')"
cashew butter,1.758,food,cashew butter,3.15,Existing Dataset,cashew butter,"('cashew', 'butter')"
cashew butter,kg,food,Cashew butter,3.15,combined_food_emissions,cashew butter,"('cashew', 'butter')"
cassava cooked,0.104,food,"cassava, cooked",1.32,Existing Dataset,cassava cooked,"('cassava', 'cooked')"
cassava cooked,kg,food,"Cassava, cooked",1.32,combined_food_emissions,cassava cooked,"('cassava', 'cooked')"
cassava fritter stuffed with crab meat puerto rican style,0.302,food,"cassava fritter stuffed with crab meat, puerto rican style",1.32,Existing Dataset,cassava fritter stuffed with crab meat puerto rican style,"('cassava', 'fritter', 'stuffed', 'with', 'crab', 'meat', 'puerto', 'rican', 'style')"
cassava fritter stuffed with crab meat puerto rican style,kg,food,"Cassava fritter stuffed with crab meat, Puerto Rican style",1.32,combined_food_emissions,cassava fritter stuffed with crab meat puerto rican style,"('cassava', 'fritter', 'stuffed', 'with', 'crab', 'meat', 'puerto', 'rican', 'style')"
cassava pasteles puerto rican style,0.091,food,"cassava pasteles, puerto rican style",1.32,Existing Dataset,cassava pastele puerto rican style,"('cassava', 'pastele', 'puerto', 'rican', 'style')"
cassava pasteles puerto rican style,kg,food,"Cassava Pasteles, Puerto Rican style",1.32,combined_food_emissions,cassava pastele puerto rican style,"('cassava', 'pastele', 'puerto', 'rican', 'style')"
catfish baked or broiled made with butter,0.039,food,"catfish, baked or broiled, made with butter",13.63,Existing Dataset,catfish baked or broiled made with butter,"('catfish', 'baked', 'or', 'broiled', 'made', 'with', 'butter')"
catfish baked or broiled made with butter,kg,food,"Catfish, baked or broiled, made with butter",13.63,combined_food_emissions,catfish baked or broiled made with butter,"('catfish', 'baked', 'or', 'broiled', 'made', 'with', 'butter')"
catfish baked or broiled made with cooking spray,0.04,food,"catfish, baked or broiled, made with cooking spray",13.63,Existing Dataset,catfish baked or broiled made with cooking spray,"('catfish', 'baked', 'or', 'broiled', 'made', 'with', 'cooking', 'spray')"
catfish baked or broiled made with cooking spray,kg,food,"Catfish, baked or broiled, made with cooking spray",13.63,combined_food_emissions,catfish baked or broiled made with cooking spray,"('catfish', 'baked', 'or', 'broiled', 'made', 'with', 'cooking', 'spray')"
catfish baked or broiled made with margarine,0.039,food,"catfish, baked or broiled, made with margarine",13.63,Existing Dataset,catfish baked or broiled made with margarine,"('catfish', 'baked', 'or', 'broiled', 'made', 'with', 'margarine')"
catfish baked or broiled made with margarine,kg,food,"Catfish, baked or broiled, made with margarine",13.63,combined_food_emissions,catfish baked or broiled made with margarine,"('catfish', 'baked', 'or', 'broiled', 'made', 'with', 'margarine')"
catfish baked or broiled made with oil,0.039,food,"catfish, baked or broiled, made with oil",13.63,Existing Dataset,catfish baked or broiled made with oil,"('catfish', 'baked', 'or', 'broiled', 'made', 'with', 'oil')"
catfish baked or broiled made with oil,kg,food,"Catfish, baked or broiled, made with oil",13.63,combined_food_emissions,catfish baked or broiled made with oil,"('catfish', 'baked', 'or', 'broiled', 'made', 'with', 'oil')"
catfish baked or broiled no added fat,0.041,food,"catfish, baked or broiled, no added fat",13.63,Existing Dataset,catfish baked or broiled no added fat,"('catfish', 'baked', 'or', 'broiled', 'no', 'added', 'fat')"
catfish baked or broiled no added fat,kg,food,"Catfish, baked or broiled, no added fat",13.63,combined_food_emissions,catfish baked or broiled no added fat,"('catfish', 'baked', 'or', 'broiled', 'no', 'added', 'fat')"
catfish coated baked or broiled made with butter,0.062,food,"catfish, coated, baked or broiled, made with butter",13.63,Existing Dataset,catfish coated baked or broiled made with butter,"('catfish', 'coated', 'baked', 'or', 'broiled', 'made', 'with', 'butter')"
catfish coated baked or broiled made with butter,kg,food,"Catfish, coated, baked or broiled, made with butter",13.63,combined_food_emissions,catfish coated baked or broiled made with butter,"('catfish', 'coated', 'baked', 'or', 'broiled', 'made', 'with', 'butter')"
catfish coated baked or broiled made with cooking spray,0.065,food,"catfish, coated, baked or broiled, made with cooking spray",13.63,Existing Dataset,catfish coated baked or broiled made with cooking spray,"('catfish', 'coated', 'baked', 'or', 'broiled', 'made', 'with', 'cooking', 'spray')"
catfish coated baked or broiled made with cooking spray,kg,food,"Catfish, coated, baked or broiled, made with cooking spray",13.63,combined_food_emissions,catfish coated baked or broiled made with cooking spray,"('catfish', 'coated', 'baked', 'or', 'broiled', 'made', 'with', 'cooking', 'spray')"
catfish coated baked or broiled made with margarine,0.062,food,"catfish, coated, baked or broiled, made with margarine",13.63,Existing Dataset,catfish coated baked or broiled made with margarine,"('catfish', 'coated', 'baked', 'or', 'broiled', 'made', 'with', 'margarine')"
catfish coated baked or broiled made with margarine,kg,food,"Catfish, coated, baked or broiled, made with margarine",13.63,combined_food_emissions,catfish coated baked or broiled made with margarine,"('catfish', 'coated', 'baked', 'or', 'broiled', 'made', 'with', 'margarine')"
catfish coated baked or broiled made with oil,0.062,food,"catfish, coated, baked or broiled, made with oil",13.63,Existing Dataset,catfish coated baked or broiled made with oil,"('catfish', 'coated', 'baked', 'or', 'broiled', 'made', 'with', 'oil')"
catfish coated baked or broiled made with oil,kg,food,"Catfish, coated, baked or broiled, made with oil",13.63,combined_food_emissions,catfish coated baked or broiled made with oil,"('catfish', 'coated', 'baked', 'or', 'broiled', 'made', 'with', 'oil')"
catfish coated baked or broiled no added fat,0.065,food,"catfish, coated, baked or broiled, no added fat",13.63,Existing Dataset,catfish coated baked or broiled no added fat,"('catfish', 'coated', 'baked', 'or', 'broiled', 'no', 'added', 'fat')"
catfish coated baked or broiled no added fat,kg,food,"Catfish, coated, baked or broiled, no added fat",13.63,combined_food_emissions,catfish coated baked or broiled no added fat,"('catfish', 'coated', 'baked', 'or', 'broiled', 'no', 'added', 'fat')"
catfish coated fried made with butter,0.069,food,"catfish, coated, fried, made with butter",13.63,Existing Dataset,catfish coated fried made with butter,"('catfish', 'coated', 'fried', 'made', 'with', 'butter')"
catfish coated fried made with butter,kg,food,"Catfish, coated, fried, made with butter",13.63,combined_food_emissions,catfish coated fried made with butter,"('catfish', 'coated', 'fried', 'made', 'with', 'butter')"
catfish coated fried made with cooking spray,0.081,food,"catfish, coated, fried, made with cooking spray",13.63,Existing Dataset,catfish coated fried made with cooking spray,"('catfish', 'coated', 'fried', 'made', 'with', 'cooking', 'spray')"
catfish coated fried made with cooking spray,kg,food,"Catfish, coated, fried, made with cooking spray",13.63,combined_food_emissions,catfish coated fried made with cooking spray,"('catfish', 'coated', 'fried', 'made', 'with', 'cooking', 'spray')"
catfish coated fried made with margarine,0.069,food,"catfish, coated, fried, made with margarine",13.63,Existing Dataset,catfish coated fried made with margarine,"('catfish', 'coated', 'fried', 'made', 'with', 'margarine')"
catfish coated fried made with margarine,kg,food,"Catfish, coated, fried, made with margarine",13.63,combined_food_emissions,catfish coated fried made with margarine,"('catfish', 'coated', 'fried', 'made', 'with', 'margarine')"
catfish coated fried made with oil,0.069,food,"catfish, coated, fried, made with oil",13.63,Existing Dataset,catfish coated fried made with oil,"('catfish', 'coated', 'fried', 'made', 'with', 'oil')"
catfish coated fried made with oil,kg,food,"Catfish, coated, fried, made with oil",13.63,combined_food_emissions,catfish coated fried made with oil,"('catfish', 'coated', 'fried', 'made', 'with', 'oil')"
catfish coated fried no added fat,0.082,food,"catfish, coated, fried, no added fat",13.63,Existing Dataset,catfish coated fried no added fat,"('catfish', 'coated', 'fried', 'no', 'added', 'fat')"
catfish coated fried no added fat,kg,food,"Catfish, coated, fried, no added fat",13.63,combined_food_emissions,catfish coated fried no added fat,"('catfish', 'coated', 'fried', 'no', 'added', 'fat')"
catfish cooked ns as to cooking method,0.069,food,"catfish, cooked, ns as to cooking method",13.63,Existing Dataset,catfish cooked ns as to cooking method,"('catfish', 'cooked', 'ns', 'as', 'to', 'cooking', 'method')"
catfish cooked ns as to cooking method,kg,food,"Catfish, cooked, NS as to cooking method",13.63,combined_food_emissions,catfish cooked ns as to cooking method,"('catfish', 'cooked', 'ns', 'as', 'to', 'cooking', 'method')"
catfish steamed or poached,0.04,food,"catfish, steamed or poached",13.63,Existing Dataset,catfish steamed or poached,"('catfish', 'steamed', 'or', 'poached')"
catfish steamed or poached,kg,food,"Catfish, steamed or poached",13.63,combined_food_emissions,catfish steamed or poached,"('catfish', 'steamed', 'or', 'poached')"
cereal general mills 25 less sugar cinnamon toast crunch,0.154,food,cereal (general mills 25% less sugar cinnamon toast crunch),3.2,Existing Dataset,cereal general mill 25 less sugar cinnamon toast crunch,"('cereal', 'general', 'mill', '25', 'less', 'sugar', 'cinnamon', 'toast', 'crunch')"
cereal general mills 25 less sugar cinnamon toast crunch,kg,food,Cereal (General Mills 25% Less Sugar Cinnamon Toast Crunch),3.2,combined_food_emissions,cereal general mill 25 less sugar cinnamon toast crunch,"('cereal', 'general', 'mill', '25', 'less', 'sugar', 'cinnamon', 'toast', 'crunch')"
cereal general mills chex rice,0.26,food,cereal (general mills chex rice),4.45,Existing Dataset,cereal general mill chex rice,"('cereal', 'general', 'mill', 'chex', 'rice')"
cereal general mills chex rice,kg,food,Cereal (General Mills Chex Rice),4.45,combined_food_emissions,cereal general mill chex rice,"('cereal', 'general', 'mill', 'chex', 'rice')"
cereal general mills oatmeal crisp with almonds,0.345,food,cereal (general mills oatmeal crisp with almonds),2.48,Existing Dataset,cereal general mill oatmeal crisp with almond,"('cereal', 'general', 'mill', 'oatmeal', 'crisp', 'with', 'almond')"
cereal general mills oatmeal crisp with almonds,kg,food,Cereal (General Mills Oatmeal Crisp with Almonds),2.48,combined_food_emissions,cereal general mill oatmeal crisp with almond,"('cereal', 'general', 'mill', 'oatmeal', 'crisp', 'with', 'almond')"
cereal kellogg s rice krispies,0.186,food,cereal (kellogg's rice krispies),4.45,Existing Dataset,cereal kellogg rice krispy,"('cereal', 'kellogg', 'rice', 'krispy')"
cereal kellogg s rice krispies,kg,food,Cereal (Kellogg's Rice Krispies),4.45,combined_food_emissions,cereal kellogg rice krispy,"('cereal', 'kellogg', 'rice', 'krispy')"
cereal kellogg s rice krispies treats cereal,0.107,food,cereal (kellogg's rice krispies treats cereal),4.45,Existing Dataset,cereal kellogg rice krispy treat cereal,"('cereal', 'kellogg', 'rice', 'krispy', 'treat', 'cereal')"
cereal kellogg s rice krispies treats cereal,kg,food,Cereal (Kellogg's Rice Krispies Treats Cereal),4.45,combined_food_emissions,cereal kellogg rice krispy treat cereal,"('cereal', 'kellogg', 'rice', 'krispy', 'treat', 'cereal')"
cereal kellogg s special k fruit yogurt,0.313,food,cereal (kellogg's special k fruit & yogurt),3.15,Existing Dataset,cereal kellogg special fruit yogurt,"('cereal', 'kellogg', 'special', 'fruit', 'yogurt')"
cereal kellogg s special k fruit yogurt,kg,food,Cereal (Kellogg's Special K Fruit & Yogurt),3.15,combined_food_emissions,cereal kellogg special fruit yogurt,"('cereal', 'kellogg', 'special', 'fruit', 'yogurt')"
cereal kellogg s special k red berries,0.246,food,cereal (kellogg's special k red berries),1.53,Existing Dataset,cereal kellogg special red berry,"('cereal', 'kellogg', 'special', 'red', 'berry')"
cereal kellogg s special k red berries,kg,food,Cereal (Kellogg's Special K Red Berries),1.53,combined_food_emissions,cereal kellogg special red berry,"('cereal', 'kellogg', 'special', 'red', 'berry')"
cereal or granola bar kellogg s nutri grain yogurt bar,0.142,food,cereal or granola bar (kellogg's nutri-grain yogurt bar),3.15,Existing Dataset,cereal or granola bar kellogg nutri grain yogurt bar,"('cereal', 'or', 'granola', 'bar', 'kellogg', 'nutri', 'grain', 'yogurt', 'bar')"
cereal or granola bar kellogg s nutri grain yogurt bar,kg,food,Cereal or granola bar (Kellogg's Nutri-Grain Yogurt Bar),3.15,combined_food_emissions,cereal or granola bar kellogg nutri grain yogurt bar,"('cereal', 'or', 'granola', 'bar', 'kellogg', 'nutri', 'grain', 'yogurt', 'bar')"
cereal or granola bar quaker chewy 25 less sugar granola bar,0.163,food,cereal or granola bar (quaker chewy 25% less sugar granola bar),3.2,Existing Dataset,cereal or granola bar quaker chewy 25 less sugar granola bar,"('cereal', 'or', 'granola', 'bar', 'quaker', 'chewy', '25', 'less', 'sugar', 'granola', 'bar')"
cereal or granola bar quaker chewy 25 less sugar granola bar,kg,food,Cereal or granola bar (Quaker Chewy 25% Less Sugar Granola Bar),3.2,combined_food_emissions,cereal or granola bar quaker chewy 25 less sugar granola bar,"('cereal', 'or', 'granola', 'bar', 'quaker', 'chewy', '25', 'less', 'sugar', 'granola', 'bar')"
cereal or granola bar with nuts chocolate coated,0.323,food,"cereal or granola bar with nuts, chocolate coated",0.43,Existing Dataset,cereal or granola bar with nut chocolate coated,"('cereal', 'or', 'granola', 'bar', 'with', 'nut', 'chocolate', 'coated')"
cereal or granola bar with nuts chocolate coated,kg,food,"Cereal or granola bar with nuts, chocolate coated",0.43,combined_food_emissions,cereal or granola bar with nut chocolate coated,"('cereal', 'or', 'granola', 'bar', 'with', 'nut', 'chocolate', 'coated')"
cereal post grape nuts,0.34,food,cereal (post grape-nuts),0.43,Existing Dataset,cereal post grape nut,"('cereal', 'post', 'grape', 'nut')"
cereal post grape nuts,kg,food,Cereal (Post Grape-Nuts),0.43,combined_food_emissions,cereal post grape nut,"('cereal', 'post', 'grape', 'nut')"
cereal quaker cap n crunch s crunchberries,0.119,food,cereal (quaker cap'n crunch's crunchberries),1.53,Existing Dataset,cereal quaker cap crunch crunchberry,"('cereal', 'quaker', 'cap', 'crunch', 'crunchberry')"
cereal quaker cap n crunch s crunchberries,kg,food,Cereal (Quaker Cap'n Crunch's Crunchberries),1.53,combined_food_emissions,cereal quaker cap crunch crunchberry,"('cereal', 'quaker', 'cap', 'crunch', 'crunchberry')"
cereal quaker cap n crunch s peanut butter crunch,0.111,food,cereal (quaker cap'n crunch's peanut butter crunch),3.15,Existing Dataset,cereal quaker cap crunch peanut butter crunch,"('cereal', 'quaker', 'cap', 'crunch', 'peanut', 'butter', 'crunch')"
cereal quaker cap n crunch s peanut butter crunch,kg,food,Cereal (Quaker Cap'n Crunch's Peanut Butter Crunch),3.15,combined_food_emissions,cereal quaker cap crunch peanut butter crunch,"('cereal', 'quaker', 'cap', 'crunch', 'peanut', 'butter', 'crunch')"
cereal quaker oatmeal squares,0.474,food,cereal (quaker oatmeal squares),2.48,Existing Dataset,cereal quaker oatmeal square,"('cereal', 'quaker', 'oatmeal', 'square')"
cereal quaker oatmeal squares,kg,food,Cereal (Quaker Oatmeal Squares),2.48,combined_food_emissions,cereal quaker oatmeal square,"('cereal', 'quaker', 'oatmeal', 'square')"
cheddar cheese soup home recipe canned or ready to serve,0.051,food,"cheddar cheese soup, home recipe, canned or ready-to-serve",23.88,Existing Dataset,cheddar cheese soup home recipe canned or ready to serve,"('cheddar', 'cheese', 'soup', 'home', 'recipe', 'canned', 'or', 'ready', 'to', 'serve')"
cheddar cheese soup home recipe canned or ready to serve,kg,food,"Cheddar cheese soup, home recipe, canned or ready-to-serve",23.88,combined_food_emissions,cheddar cheese soup home recipe canned or ready to serve,"('cheddar', 'cheese', 'soup', 'home', 'recipe', 'canned', 'or', 'ready', 'to', 'serve')"
cheese,kg,food,Cheese,13.5,footprint,cheese,"('cheese',)"
cheese american,0.027,food,"cheese, american",23.88,Existing Dataset,cheese american,"('cheese', 'american')"
cheese american,kg,food,"Cheese, American",23.88,combined_food_emissions,cheese american,"('cheese', 'american')"
cheese american and swiss blends,0.046,food,"cheese, american and swiss blends",23.88,Existing Dataset,cheese american and swiss blend,"('cheese', 'american', 'and', 'swiss', 'blend')"
cheese american and swiss blends,kg,food,"Cheese, American and Swiss blends",23.88,combined_food_emissions,cheese american and swiss blend,"('cheese', 'american', 'and', 'swiss', 'blend')"
cheese american nonfat or fat free,0.559,food,"cheese, american, nonfat or fat free",23.88,Existing Dataset,cheese american nonfat or fat free,"('cheese', 'american', 'nonfat', 'or', 'fat', 'free')"
cheese american nonfat or fat free,kg,food,"Cheese, American, nonfat or fat free",23.88,combined_food_emissions,cheese american nonfat or fat free,"('cheese', 'american', 'nonfat', 'or', 'fat', 'free')"
cheese american reduced fat,0.03,food,"cheese, american, reduced fat",23.88,Existing Dataset,cheese american reduced fat,"('cheese', 'american', 'reduced', 'fat')"
cheese american reduced fat,kg,food,"Cheese, American, reduced fat",23.88,combined_food_emissions,cheese american reduced fat,"('cheese', 'american', 'reduced', 'fat')"
cheese american reduced sodium,0.03,food,"cheese, american, reduced sodium",23.88,Existing Dataset,cheese american reduced sodium,"('cheese', 'american', 'reduced', 'sodium')"
cheese american reduced sodium,kg,food,"Cheese, American, reduced sodium",23.88,combined_food_emissions,cheese american reduced sodium,"('cheese', 'american', 'reduced', 'sodium')"
cheese as ingredient in sandwiches,0.037,food,cheese as ingredient in sandwiches,23.88,Existing Dataset,cheese as ingredient in sandwiche,"('cheese', 'as', 'ingredient', 'in', 'sandwiche')"
cheese as ingredient in sandwiches,kg,food,Cheese as ingredient in sandwiches,23.88,combined_food_emissions,cheese as ingredient in sandwiche,"('cheese', 'as', 'ingredient', 'in', 'sandwiche')"
cheese ball,0.36,food,cheese ball,23.88,Existing Dataset,cheese ball,"('cheese', 'ball')"
cheese ball,kg,food,Cheese ball,23.88,combined_food_emissions,cheese ball,"('cheese', 'ball')"
cheese blue or roquefort,0.04,food,"cheese, blue or roquefort",23.88,Existing Dataset,cheese blue or roquefort,"('cheese', 'blue', 'or', 'roquefort')"
cheese blue or roquefort,kg,food,"Cheese, Blue or Roquefort",23.88,combined_food_emissions,cheese blue or roquefort,"('cheese', 'blue', 'or', 'roquefort')"
